id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
1172,"Hamlin Garland has tried to appeal to a wider audience by moving away from the gritty realism of his early writings, which often advanced populist political causes, and toward _______ mainstream fiction.",demanding,topical,anodyne,toothless,derivative,challenging,anodyne,toothless,anodyne,toothless
1173,"Someone must not have been _______, since by the time the conspirators were ready to act, knowledge of their plot was widespread.",circumspect,compromised,indiscreet,injudicious,prudent,unaware,circumspect,prudent,circumspect,prudent
1174,"Kusar’s efforts to live a life of radical nonconformity were _______ enough, but, over time, he ended up in circumstances that were not dissimilar to those of the rest of his generation.",flamboyant,assiduous,sincere,impulsive,erratic,diligent,assiduous,diligent,assiduous,diligent
1175,"After landing on a flower, inexperienced bees show an _______ probing response, but they still must invest time in learning how to exploit flowers of increased complexity efficiently.",immediate,impressive,inadequate,ineffectual,innate,intuitive,innate,intuitive,innate,intuitive
1176,"At the peak of the stock market’s vertiginous rise, some corporate pension plans became overfunded: their assets _______ their liabilities.",outstripped,equaled,matched,encompassed,inflated,surpassed,outstripped,surpassed,outstrip,surpass
1177,"Velázquez’ paintings can be somewhat _______: one cannot get on familiar terms with them, but only admire their colorful polish from afar.",pedestrian,slippery,ominous,prosaic,flamboyant,elusive,slippery,elusive,slippery,elusive
1178,"Wang’s book is the first attempt to define Chinese autobiography as _______ genre, that is, one distinct from other narrative modes of self-representation popular after the fall of the Qing dynasty in 1911.",an imported,a separate,an influential,a discrete,an archetypal,a consequential,a separate,a discrete,separate,discrete
1179,"The so-called “sensation novel,” popular in mid-nineteenth-century Britain, was dismissed by some as _______ form of fiction, partly because these spine-tingling novels often appeared as serials in cheap, disposable periodicals.",an engrossing,an ephemeral,a macabre,a transitory,a captivating,a debased,an ephemeral,a transitory,ephemeral,transitory
1180,"Cash crops require committed, systematic cultivation; rubber tapping, on the other hand, is much more of _______ enterprise: it is largely a matter of stumbling upon a rubber plant that is ready for harvesting.",a lucrative,a contingent,an arduous,a conventional,a profitable,an uncertain,a contingent,an uncertain,contingent,uncertain
1181,"There are many contemporary composers who receive coveted commissions, only to see their creations _______ after one performance.",dismantled,redrafted,plundered,pilloried,discarded,shelved,discarded,shelved,discard,shelve
1182,"He is most frugal in matters of business, but in his private life he reveals a streak of _______.",parsimony,profligacy,immoderation,deceit,dissimulation,indolence,profligacy,immoderation,profligacy,immoderation
1183,"Given that the detailed scientific description of four-legged animals’ walking gaits is now over a century old, it is _______ that so many artists, taxidermists, and others responsible for depicting animals get leg positions wrong.",exasperating,unsurprising,satisfying,predictable,remarkable,frustrating,exasperating,frustrating,exasperating,frustrating
1184,"Gaige accomplishes a surprising feat: modeling her novel on one of the most _______ narratives in all of literature, she creates a remarkably understated tale.",sensational,revered,extravagant,imitated,suspenseful,chilling,sensational,extravagant,sensational,extravagant
1185,"Because connections made of the material are _______ to fail at high temperatures, it is particularly suited for sacrificial thermal cutoff switches; it is, of course, unsuited to applications where heat durability is needed.",unlikely,disinclined,apt,sure,bound,liable,apt,liable,apt,liable
1186,"Eliot’s satire stops short of cruelty; inveterately _______, even when it comes to her most flawed characters, her default authorial position is one of pity.",exacting,magnanimous,demanding,considerate,generous,self-indulgent,magnanimous,generous,magnanimous,generous
1187,"Psychologists once _______ fiction as a way of understanding people because it is made up, but in the past 25 years cognitive psychologists have developed a new appreciation for the significance of fictional stories.",overlooked,countenanced,underestimated,scorned,sanctioned,disparaged,scorned,disparaged,scorn,disparage
1188,"In the Old Southwest, only writers who showed exceptional _______ were likely to become widely known, because the region’s weak infrastructure inhibited the development of publishing beyond local newspapers that served small towns.",prescience,foresightedness,optimism,resolve,patience,determination,resolve,determination,resolve,determination
1189,Most scholarship that is produced these days vanishes without apparent _______; 98 percent of all publications in the arts and humanities are never cited.,credibility,impact,ignominy,disgrace,influence,attribution,impact,influence,impact,influence
1190,"Researchers concluded that although the success of pearl millet crops in the region varied with seasonal climatic conditions, cultivation remains _______ because of pearl millet’s predisposition to perform under stressful growing conditions, including drought.",erratic,advantageous,inconsistent,prevalent,impractical,expedient,advantageous,expedient,advantageous,expedient
1191,"In some ways, the success of Aishwarya Rai _______ the growing international recognition of India’s film industry: in 2003 she was the first Indian actor to be on the jury at the Cannes Film Festival.",controverts,personifies,eclipses,epitomizes,explains,belies,personifies,epitomizes,personify,epitomize
1192,"Although biologists know that thousands of species of microbes and invertebrates inhabit one square meter of temperate grassland soil, the identities of those creatures and their contributions to sustaining the biosphere remain _______.",obscure,self-evident,immaterial,murky,contested,obvious,obscure,murky,obscure,murky
1193,"The orthodox approach to legal decision making tends to be backward looking, asking which decision would have the better legal _______.",outcome,lineage,consequence,corollary,standing,pedigree,lineage,pedigree,lineage,pedigree
1194,The firm’s startling admission of bookkeeping irregularities called into question the _______ of the oversight that government exercises over the financial health of private businesses.,sufficiency,efficacy,authenticity,legitimacy,propriety,constitutionality,sufficiency,efficacy,sufficiency,efficacy
1195,Jean Kimmel and Emily Hoffman argue for expanding the definition of child-care subsidies to include all programs that _______ or otherwise offset expenses for nonparental child-care.,tally,tabulate,alter,defray,pay,simplify,defray,pay,defray,pay
1196,"Although Harman has not produced _______ biography of Robert Louis Stevenson, her understanding of what it takes to write a book enables her to account for Stevenson’s delirious sprints toward and away from publication.",a controversial,a flawed,a definitive,an idiosyncratic,an unsound,an authoritative,a definitive,an authoritative,definitive,authoritative
1197,"Despite the _______ amount of high-quality data on the issue of underrepresentation of women professors in math-intensive fields, particularly in upper-level positions, myths and misunderstandings prevail.",appropriate,suspicious,significant,overwhelming,substantial,dubious,significant,substantial,significant,substantial
1198,"Cole’s novel is as close to a diary as a novel can get, encompassing reflection, autobiography, stasis, and repetition, a daunting task even many accomplished novelists would _______, which, wonderfully, Cole does not do.",sidestep,attempt,hazard,botch,complicate,avoid,sidestep,avoid,sidestep,avoid
1199,"While some naive investors have been convinced by proponents of the merger that the two companies are natural partners, experienced analysts are less _______.",optimistic,credulous,reliable,gullible,skeptical,dismissive,credulous,gullible,credulous,gullible
1200,"Sweet’s illustrations are playfully _______: the eye hops sparrowlike from leaf to leaf, uncertain where to settle.",daunting,distracting,integrated,educational,diverting,informative,distracting,diverting,distracting,diverting
1201,"That she was unaffected by the _______ of the feudal past was evident in the style in which she wrote of it, a style completely devoid of nostalgia.",allure,cruelty,prestige,barbarity,remnants,magic,allure,magic,allure,magic
1202,"Although he is only thirty-six, he has been in politics continuously since he first attracted attention for an extraordinarily _______ performance at a party conference twenty years ago, when, as a sixteen-year-old schoolboy, he gave a brilliant speech that articulated his conservative political philosophy.",precocious,jejune,mature,vapid,ostentatious,rousing,precocious,mature,precocious,mature
1203,"Fortunately the writer does not, in general, _______ her practice of withholding the perpetrator’s identity until the last chapter, since one of the greatest pleasures of reading her mystery novels is speculating about the culprit’s identity.",rely on,deviate from,cleave to,justify,disregard,rationalize,deviate from,disregard,deviate,disregard
1204,Mathematical knowledge has long been regarded as being essentially stable and hence rooted in a world of ideas only superficially _______ historical forces.,affected by,committed to,uninformed by,oblivious of,susceptible to,unresponsive to,affected by,susceptible to,affected,susceptible
1205,"Although the writer meant for the book to serve as a kind of tribute to motherhood, the approach here is hardly a _______ affair.",memorable,saccharine,problematic,divisive,sentimental,controversial,saccharine,sentimental,saccharine,sentimental
1206,"People tend to _______ how distinct their own lives are, so the commonalities they enjoy with other people seem to them a series of small miracles.",emphasize,overestimate,ignore,exaggerate,overlook,deny,overestimate,exaggerate,overestimate,exaggerate
1207,"Pat Barker’s World War I novels have been characterized by some as a commentary on the futility of war, yet Barker appears interested in specific individuals and encounters for their own sake rather than as _______.",distractions,exemplars,illustrations,anachronisms,conundrums,diversions,exemplars,illustrations,exemplar,illustration
1208,"In contrast to today, when many readers consider the moral sentiments expressed in the ancient writer’s work to be quite sophomoric, in the writer’s own time, these sentiments were regarded as remarkably _______.",abstruse,misguided,insightful,ill-conceived,sagacious,sanguine,insightful,sagacious,insightful,sagacious
1209,"It may be fairly easy to criticize Tatsumi’s comic book on a drawing-by-drawing or line-by-line basis, but one ought not make that mistake, for the book’s pleasures are _______.",considerable,trivial,cumulative,insignificant,subtle,additive,cumulative,additive,cumulative,additive
1210,"In her new book, Alexander relates some amazing biological facts about the elephant—an elephant’s heart can weigh 28.5 pounds, for example—but what really makes these behemoths remarkable is their continued survival despite more than a century of human _______.",indifference,caution,predation,rapacity,prudence,meddling,predation,rapacity,predation,rapacity
1211,"The vivid, intelligent introduction to fundamental elements of classical music offered by conductor Michael Tilson Thomas in these programs has few precedents: Thomas is truly performing radical acts of _______.",elucidation,appropriation,chicanery,inspiration,demystification,subterfuge,elucidation,demystification,elucidation,demystification
1212,Social norms are not _______: they emerge and change as a result of social and historical factors and can also be influenced by the visible actions of prominent individuals.,arbitrary,immutable,contingent,provisional,static,democratic,immutable,static,immutable,static
1213,"What they see in Jiménez is a candidate incapable of decisive leadership, in stark contrast to Díaz, whose term in office has been characterized by _______.",mediocrity,corruption,determination,malfeasance,pugnacity,resolution,determination,resolution,determination,resolution
1214,"When the field of candidates for provost was announced, a group of outraged faculty confronted university authorities in a final effort to _______ the hiring of a particularly controversial individual.",postpone,forestall,eclipse,prevent,overshadow,denounce,forestall,prevent,forestall,prevent
1215,"While Elizabeth Barrett Browning often wrote in restrictively intricate verse forms such as the Petrarchan sonnet, she also sometimes _______ formal constraints in poetry.",defended,neglected,dismissed,appropriated,vindicated,repudiated,neglected,dismissed,neglect,dismiss
1216,"Wilson sees the ideas that he presents in his new book as being notably _______, but his critics, by contrast, claim that they are actually rather conventional.",understated,iconoclastic,subversive,democratic,egalitarian,daunting,iconoclastic,subversive,iconoclastic,subversive
1217,"In medieval times, coinage was sometimes _______ by the practice of “clipping” coins, or shaving off the edges to save the silver.",augmented,assayed,debased,modified,corrupted,meliorated,debased,corrupted,debase,corrupt
1218,Elizabethan actor Richard Tarlton was so _______ in appearance that a mere glimpse of his grinning face peeping through a curtain was enough to trigger prolonged peals of laughter.,animated,risible,comely,ludicrous,handsome,anomalous,risible,ludicrous,risible,ludicrous
1219,"Lispector can be an extremely _______ writer, but her images dazzle even when her meaning is obscure.",conceptual,inscrutable,anemic,digressive,insipid,cryptic,inscrutable,cryptic,inscrutable,cryptic
1220,"When first introduced, cubicle workspaces were seen as having _______ effect on office workers, but as cubicle sizes steadily shrank, the aspirations of the people working in them became increasingly constrained.",a revitalizing,a soothing,a liberating,a protecting,an emancipatory,a calming,a liberating,an emancipatory,liberating,emancipatory
1221,"In the 1920s, sound cinema _______ the possibility that the medium would become an international visual language, splintering the ostensibly universal intelligibility of silent cinema and facilitating the global spread of English.",presaged,diminished,eliminated,foreclosed,heralded,recalled,eliminated,foreclosed,eliminate,foreclose
1222,"The scientists hope that the system they created will enhance our knowledge of how the brain works, but they stress that its potential should not be _______: the system is only a model of the brain’s functioning.",ignored,exaggerated,underestimated,relied on,disregarded,overstated,exaggerated,overstated,exaggerate,overstate
1223,One characteristic that seems to have been nearly indispensable in the presidency is a proclivity for _______ indignation: nothing is more valuable in politics than the ability to summon up histrionic anger at a moment’s notice.,subdued,contrived,impetuous,restrained,calculated,righteous,contrived,calculated,contrived,calculated
1224,"Kelly Cherry’s fiction speaks to various postmodern debates regarding history and perception, but does not become so abstract that the reader feels the narrative has been _______ an intellectual agenda.",dependent on,ceded to,surrendered to,facilitated by,hampered by,expedited by,ceded to,surrendered to,cede,surrender
1225,"The teacher’s method of presenting the correct procedure for traditional Japanese tea-making appealed to some students whose instructors had taken a less _______ approach, neglecting such details as proper finger alignment.",orthodox,arcane,exacting,tolerant,permissive,punctilious,exacting,punctilious,exacting,punctilious
1226,"The distribution of a jellyfish’s nerve cells may be _______ in comparison with that of an animal that has an obvious brain and spinal cord, but the layout is hardly helter-skelter.",diffuse,ordered,dispersed,unusual,haphazard,opaque,diffuse,dispersed,diffuse,disperse
1227,"The designer is _______ by nature, so it is no surprise that the clothes she designs have consistently flouted established fashion trends.",independent,sociable,freewheeling,gregarious,finicky,deferential,independent,freewheeling,independent,freewheeling
1228,"Many working physicists believe that general relativity, while _______, is itself only one aspect of a more comprehensive theory that embraces all the forces of nature.",abstruse,complete,obscure,correct,accurate,fascinating,correct,accurate,correct,accurate
1229,A chimpanzee food call may not be simply _______ response to food but instead may be a strategically produced signal.,a random,a desperate,an automatic,a cursory,a rash,a reflexive,an automatic,a reflexive,automatic,reflexive
1230,"Fernández-Armesto has amply documented what motivated exploration in past centuries, but it is often harder to discern what _______ modern explorers.",sustains,explains,intrigues,satisfies,drives,compels,drives,compels,drive,compel
1231,"Hoping to build a broader audience, the museum has mounted several exhibitions based on popular culture, but their impact on attendance has been negligible, and some complain that this direction has _______ the museum’s stature.",protracted,undermined,burnished,augmented,diminished,perpetuated,undermined,diminished,undermine,diminish
1232,It is not exactly socialism that has _______ so much of the country’s economic life with cumbersome regulations but a meddlesome governmental culture that has been in place for centuries.,imbued,betrayed,animated,energized,stifled,throttled,stifled,throttled,stifle,throttle
1233,One commentator charged that the discipline of political science has not merely ignored pressing problems of contemporary society but has in fact been used to _______ erroneous public policies.,identify,overcome,rationalize,investigate,explore,justify,rationalize,justify,rationalize,justify
1234,One object of examining past medical practices is to identify useful knowledge amid its now outmoded trappings; the alternative is to let such knowledge _______ along with the discredited theories with which it was associated.,fade,degenerate,stand,wane,age,ossify,fade,wane,fade,wane
1235,"John Byrom’s biographer Joy Hancox was at first _______ when she came across Byrom’s mysterious drawings, but undaunted, she taught herself to decipher them and now is confident that she has discovered their significance.",curious,offended,flummoxed,baffled,dejected,intrigued,flummoxed,baffled,flummox,baffle
1236,"Walking appears simple, yet every step forward is a _______ act: each step is essentially a fall that one must catch by swinging one’s leg forward so that one’s foot lands on the floor just in time.",complicated,skillful,hasty,risky,deliberate,precarious,risky,precarious,risky,precarious
1237,Researchers’ use of charcoal particles in soil as a marker for human arrival in prehistoric North America is _______: fire was a part of the continent’s natural ecology long before humans appeared.,unwise,unnecessary,fortuitous,inessential,ingenious,misguided,unwise,misguided,unwise,misguided
1238,One of the reporter’s central themes is that health care concerns were a secondary consideration to the reformers in their drive to limit if not completely _______ the consumption of cigarettes.,indulge,proscribe,damage,spurn,disallow,impair,proscribe,disallow,proscribe,disallow
1239,"Whereas ground-based interferometers detect astrophysical events briefly and infrequently, space-based ones should hear a _______ of signals as soon as they turn on, including a constant chorus from binary white dwarfs in our galaxy.",smattering,plethora,profusion,trickle,range,hum,plethora,profusion,plethora,profusion
1240,"A time of social and economic turmoil, it nevertheless witnessed marked cultural _______, proving again that political stability is no prerequisite for artistic excellence.",repression,cohesion,autonomy,flowering,unity,advancement,flowering,advancement,flowering,advancement
1241,"Viruses are generally regarded as being on the far side of the demarcation between living and nonliving things, yet newly discovered giant viruses have longer genomes than some bacteria, whose status as living entities is _______.",elusive,incontrovertible,questionable,underestimated,indisputable,debatable,incontrovertible,indisputable,incontrovertible,indisputable
1242,"Simultaneously revered and reviled, the wolf embodies society’s _______ relationship with nature.",conflicted,romanticized,complex,idealized,changing,hypocritical,conflicted,complex,conflicted,complex
1243,"By avoiding hyperbole in her definitive account of one of the most influential but controversial banks of the modern era, Hurst shows herself to be a _______ author.",judicious,brilliant,compelling,sensible,sympathetic,solicitous,judicious,sensible,judicious,sensible
1244,"Though renowned among physicists today, Bell’s paper garnered no great _______ when it first appeared.",attention,protest,acclaim,support,outcry,fanfare,acclaim,fanfare,acclaim,fanfare
1245,"In the past, the exploitation of various categories of natural resources was done _______, but because of the hugely expanded scale of today’s economy, exploitation of all the resources in many countries now occurs simultaneously.",fruitfully,rapidly,hastily,benignly,sequentially,successively,sequentially,successively,sequentially,successively
1246,"However much people want to avoid physical pain and feelings of anxiety, both are _______ self-preservation in a dangerous world.",compatible with,essential for,complementary to,reliant on,indispensable for,noteworthy for,essential for,indispensable for,essential,indispensable
1247,Einstein called Amalie Noether the most significant mathematical genius produced since higher education of women began; so transformative was her theorem of mathematical symmetry that some consider the temporal qualification in Einstein’s statement _______.,disingenuous,fawning,expendable,flattering,superfluous,manifest,expendable,superfluous,expendable,superfluous
1248,"Terms like “mystery fiction” and “crime fiction” have connotations that may not be _______ but are hardly laudatory, at least not in the way that those of terms like “literary fiction” and “metaphysical poetry” are laudatory.",derogatory,belittling,pedantic,enviable,desirable,contemporary,derogatory,belittling,derogatory,belittling
1249,Embarrassment serves as a _______ gesture to others by signaling that the violation one committed was unintended and that it will not likely be repeated.,temporizing,placatory,confusing,cautionary,perplexing,conciliatory,placatory,conciliatory,placatory,conciliatory
1250,"Devoted to beauty and the poetic, evanescent moment, artists of the period were often inspired by the charm of the capital city and of its _______ countryside.",outlandish,sublime,mundane,bucolic,quotidian,rustic,bucolic,rustic,bucolic,rustic
1251,"The figure of the female orator, though indubitably _______, was far from unknown in fifteenth-century Italy.",controversial,distrusted,constrained,self-effacing,exotic,anomalous,exotic,anomalous,exotic,anomalous
1252,"If it is wrong to justify human selfishness on the basis of the alleged selfishness of nature, then it is equally mistaken to espouse _______ merely because some animals happily assist each other.",pragmatism,moderation,restraint,altruism,benevolence,permissiveness,altruism,benevolence,altruism,benevolence
1253,"Tender yet never _______, the memoir engages the reader without resorting to clichés.",saccharine,unsentimental,cloying,long-winded,pragmatic,affecting,saccharine,cloying,saccharine,cloying
1254,"China has a long tradition of _______ the written word; whereas in Renaissance Europe, painting, sculpture, and architecture were viewed as the apex of artistic achievement, in China calligraphy was the preeminent art form.",embellishing,venerating,preserving,studying,commodifying,exalting,venerating,exalting,venerate,exalt
1255,"This novel resembles a piece of music in the way it _______ variations on separate themes that contrast, conflict, and combine to form ever-more-fascinating patterns.",deploys,alters,rejects,marshals,reiterates,repudiates,deploys,marshals,deploy,marshal
1256,"Curry did not necessarily agree with the criticisms about her research paper, but rather than _______ them, as many scientists might have done, she began to engage with the critics.",dismissing,refuting,acknowledging,recognizing,ignoring,attacking,dismissing,ignoring,dismiss,ignore
1257,"The public memorial in Pretoria’s Freedom Park presents _______ view of South Africa’s history, with the names on it representing all those who died in conflicts that contributed to the shaping of the country.",an inclusive,a comprehensive,a definitive,a coherent,an empowering,a conventional,an inclusive,a comprehensive,inclusive,comprehensive
1258,"With poetry seemingly forever composing its own _______, and the novel apparently writing its last chapter, science fiction writers are now similarly concerned that they face a future in which their writing could, ironically, be a thing of the past.",saga,chronicle,critique,inaugural,elegy,requiem,elegy,requiem,elegy,requiem
1259,"Ultimately, according to Zuger, all medical advice is _______: it is educated guesswork, perhaps, but guesswork all the same.",salient,speculative,expedient,questionable,conjectural,pragmatic,speculative,conjectural,speculative,conjectural
1260,I. B. Singer was a prominent and beloved figure on the American literary scene for so long that it is hard to imagine that the flurry of publications marking the centennial of his birth would have anything _______ to say about him.,irksome,benevolent,novel,kindhearted,fresh,virulent,novel,fresh,novel,fresh
1261,"Jane Austen belonged to the social class about which she mainly wrote, and although her novels offer abundant satire, one never has the sense that she viewed the basic elements of this social sphere as _______.",laudable,unfathomable,ignoble,reprehensible,inviolable,praiseworthy,ignoble,reprehensible,ignoble,reprehensible
1262,"Nature, it seems, is quite _______ when it comes to the distribution of habitable planets: even in the most unusual cosmic neighborhoods, there appears to be potential for life.",arbitrary,impartial,evenhanded,exacting,predictable,resourceful,impartial,evenhanded,impartial,evenhanded
1263,"A key characteristic in the author’s presentation of his character’s dreary life is _______: paragraphs are short, sentences are laconic, patterns of repetition and circularity are evoked by means of symbolic shorthand.",redundancy,economy,hyperbole,concision,exaggeration,restraint,economy,concision,economy,concision
1264,"The simplicity of Ann Hamilton’s sculpture, a single drop of water snaking its way down a vast white wall, _______ the elaborate technical apparatus hidden beneath its surface.",minimized,undermined,belied,contradicted,conjured,evoked,belied,contradicted,belie,contradict
1265,Scholars have learned from the demographic reconstructions of the precipitate population decline in the Caribbean after the Spanish conquest that we should be cautious before we treat early accounts of a large preconquest population as though they are _______.,exaggerated,accurate,authentic,persuasive,hyperbolic,deceptive,exaggerated,hyperbolic,exaggerated,hyperbolic
1266,"Millville has its share of suburban eyesores—cement-block strip malls, rows of fast-food restaurants, and _______ split-level homes marching up hillsides denuded of trees.",magnificent,superlative,abysmal,banal,lackluster,diminutive,banal,lackluster,banal,lackluster
1267,"In his account of Saladin’s character, the sixteenth-century writer Giovio acknowledged that the sultan had been capable of some perfidy, but Giovio was otherwise _______ in expressing his approbation of the man.",eloquent,unstinting,subdued,muted,profuse,judicious,unstinting,profuse,unstinting,profuse
1268,The overall persuasiveness of the literary critic’s analysis was occasionally marred by _______ generalizations that served only to distract attentive readers from the intended point.,questionable,vacuous,broad,dubious,incisive,trenchant,questionable,dubious,questionable,dubious
1269,The ocean surf zone is a very _______ research setting: it is almost impossible to install and maintain instruments that will give valid readings there.,unpredictable,prosaic,worthwhile,hostile,pedestrian,inhospitable,hostile,inhospitable,hostile,inhospitable
1270,"Though acquaintances are at first overwhelmed by his _______, they soon appreciate that, contrary to appearances, he is not without self-interest.",probity,magnanimity,ambition,fortitude,determination,benevolence,magnanimity,benevolence,magnanimity,benevolence
1271,"To early geneticists, the fixity and unambiguousness of the genetic code seem to guarantee its performing _______ in the cell, but this notion of a precisely describable march from cause to effect is dissolving.",sporadically,intermittently,mechanistically,adaptively,automatically,successfully,mechanistically,automatically,mechanistically,automatically
1272,"Perhaps because the set of cases the scholar considered did not include Bolivia and Ecuador, where the phenomenon is most noticeable, the role of indigenous groups in sustaining neopopulist leaders is _______ in his analysis.",ignored,misrepresented,exaggerated,overemphasized,downplayed,unexplored,downplayed,unexplored,downplay,unexplored
1273,"The high seriousness of St. Aubyn’s novel is not at all superficial; in fact, it is _______ the novel’s ferociously comic vision.",redolent of,reminiscent of,intrinsic to,inimical to,antagonistic to,inextricable from,intrinsic to,inextricable from,intrinsic,inextricable
1274,"Many in the software industry cling to an obstinate belief that the industry can weather any economic storm, but their _______ has been visibly shaken by a looming recession and aggressive consolidation in the high-tech industry.",suspicion,confidence,mistrust,foundation,contentment,certainty,confidence,certainty,confidence,certainty
1275,The indigenous uprising in Bolivia in 2008 was not _______: in 1781 indigenous people took over the area near present-day La Paz in what constituted the biggest challenge to the Spanish who then controlled Bolivia.,unsuccessful,unpredictable,unprecedented,disregarded,unique,random,unprecedented,unique,unprecedented,unique
1276,"In mid-nineteenth-century Paris, some independent women survived economically by running small dressmaking businesses, though the displacement of custom-made clothing by factory-made garments _______ these needleworkers’ economic opportunities.",confounded,curtailed,diminished,augmented,destroyed,disguised,curtailed,diminished,curtail,diminish
1277,"_______ technological trends is problematic: downsizing computers from room size to pocket size is one thing, but it is quite another to go from pocket size to cellular or molecular scales.",Diverting,Celebrating,Projecting,Redirecting,Extrapolating,Identifying,Projecting,Extrapolating,project,extrapolate
1278,"The biographer’s _______ account of the life of Billie Holiday can be frustrating, since it gives readers little sense of the chronology of Holiday’s career.",laconic,tendentious,meandering,effusive,didactic,circuitous,meandering,circuitous,meandering,circuitous
1279,The use of temperature records for the period from 1880 to 1899 as the favored baseline for measuring global warming is _______ because the 1880s were particularly cold after the eruption of the Krakatoa volcano.,injudicious,unnecessary,ill-advised,controversial,commonplace,widespread,injudicious,ill-advised,injudicious,ill-advised
1280,"Using elaborate costumes and lighting, dancer Loie Fuller transformed herself multiple times during a performance, thereby emphasizing the _______ of character.",fluidity,honesty,universality,sincerity,complexity,mutability,fluidity,mutability,fluidity,mutability
1281,"Contrary to the proclamations of many scientists, the problems visible in small, uncontrolled medical studies are not necessarily _______ larger, randomized controlled studies, which can be faulty as well.",germane to,alleviated by,predicted by,inherent in,mitigated by,characteristic of,alleviated by,mitigated by,alleviate,mitigate
1282,"Though cloaked in the protective armor of _______ prose, John Hope Franklin’s interpretation of United States history was surprisingly radical.",ironic,lucid,careful,erudite,agreeable,judicious,careful,judicious,careful,judicious
1283,"The show is set in an era marked by _______, and its characters are emblematic of that, indulging certain styles of behavior while knowing them to be false.",hypocrisy,injustice,phoniness,flamboyance,deviousness,ostentation,hypocrisy,phoniness,hypocrisy,phoniness
1284,"Researchers comparing test subjects’ abilities to interpret others’ facial expressions found that while some expressions were easy to interpret, others were difficult because they were so _______ the person making the expression.",habitual for,customary for,peculiar to,idiosyncratic to,opaque to,inoffensive to,peculiar to,idiosyncratic to,peculiar,idiosyncratic
1285,The panegyrics are highly tendentious and offend modern taste by their flowery style and _______ flattery.,desultory,effusive,jejune,implausible,fulsome,backhanded,effusive,fulsome,effusive,fulsome
1286,"As their late-nineteenth-century critics realized, positivists had abandoned science’s inherently _______ outlook by transforming science from a method into a metaphysic, a source of absolute certainty.",progressive,empirical,deterministic,provisional,skeptical,conditional,provisional,conditional,provisional,conditional
1287,"The strong compulsion that readers have to look to an author’s life for keys to understanding that author’s work _______ the importance biography can have in the appreciation of fiction, even if reference to biography is currently unfashionable as a tool of criticism.",compensates for,testifies to,overstates,exaggerates,evinces,rescinds,testifies to,evinces,testify,evince
1288,"African painters Ghada Amer and Julie Mehretu are not swayed by art-world insiders’ _______ of aesthetic elements that can be characterized as decorative; rather, they recognize all beauty as a source of power in painting.",ignorance,delineation,trivialization,adulation,deprecation,co-optation,trivialization,deprecation,trivialization,deprecation
1289,"Although there is clear and direct evidence for the use of domestic horses in the Bronze Age cultures of the second millennium B.C.E., evidence for the use of the horse before this period is _______.",equivocal,superfluous,circumstantial,nonexistent,ambiguous,redundant,equivocal,ambiguous,equivocal,ambiguous
1290,"Planetary systems are _______, with the orbits of even the largest planets able to evolve and migrate, especially in the early period when interaction between forming planets and the protoplanetary disc is strong.",stable,dynamic,predictable,idiosyncratic,mutable,enigmatic,dynamic,mutable,dynamic,mutable
1291,"Unfortunately, this book about last year’s political scandal comes too early to _______ the discussions that took place as events were unfolding and too late to add to those discussions.",rise above,consider,transcend,spark,supplement,elaborate on,rise above,transcend,rise above,transcend
1292,"Because Earth’s atmosphere distorts astronomical observations, whatever tends to _______ its influence is dismaying to the astronomer.",amplify,sustain,alter,adjust,revive,strengthen,amplify,strengthen,amplify,strengthen
1293,"Since cosmic rays are electrically charged, their paths are altered by our galaxy’s magnetic field; thus, their points of origin remain _______.",calculable,irrelevant,unforeseeable,uncertain,immaterial,questionable,unforeseeable,uncertain,unforeseeable,uncertain
1294,"Far from being models of devoted political participation, the town halls suffered from citizen _______: in eighteenth-century Massachusetts, for example, attendance ranged from 20 percent to 60 percent of eligible voters.",extremism,sedition,single-mindedness,rebellion,unconcern,apathy,unconcern,apathy,unconcern,apathy
1295,"In many branches of science, our knowledge and technology have advanced so rapidly that new studies carried out with improved instruments and techniques may well _______ research done just twenty years earlier.",confirm,supplant,elaborate,supersede,question,validate,supplant,supersede,supplant,supersede
1296,"Duke Ellington managed his career with extreme deliberateness: nothing was _______, and even apparent compromises or trade-offs were actually artful accommodations leading to eventual triumphs.",effortless,fortuitous,arduous,accidental,laborious,commercialized,fortuitous,accidental,fortuitous,accidental
1297,"Charles Babbage’s interests, while initially seeming so _______, nevertheless did possess a common, unifying thread.",unusual,random,unorthodox,esoteric,miscellaneous,obscure,random,miscellaneous,random,miscellaneous
1298,"When philosophers like Plato, Hume, and Schopenhauer write with clarity about problems of the utmost difficulty, such _______ does not make the problems appear simple or easy to solve: on the contrary, difficulty is exposed as essential to the understanding.",lucidity,equivocation,evasiveness,intelligibility,boldness,resourcefulness,lucidity,intelligibility,lucidity,intelligibility
1299,"The claim that the consulting firm began work in the country several years after the military coup was revisionism of _______ kind, since the firm was openly working with the military before the coup even took place.",an impenetrable,a cryptic,a blatant,a familiar,an insidious,a shameless,a blatant,a shameless,blatant,shameless
1300,We worked very hard—at least Ellen did; I tended to be more _______.,assiduous,lethargic,surly,industrious,solicitous,indolent,lethargic,indolent,lethargic,indolent
1301,"Modern architectural criticism largely ignores the role of light, shadow, and color, treating the surface of a building as if it were _______ instead of different from one minute to the next.",negligible,paramount,abiding,stable,trifling,intriguing,abiding,stable,abiding,stable
